District,Year,Enrollment
Gilmer,2022,799.0
Gilmer,2023,790.0
Gilmer,2024,761.0
Gilmer,2025,720.0
Gilmer,2026,712.0
Grant,2011,1887.0
Grant,2012,1873.0
Grant,2013,1840.0
Grant,2014,1819.0
Grant,2015,1800.0
Grant,2016,1747.0
Grant,2017,1681.0
Grant,2018,1656.0
Grant,2019,1633.0
Grant,2020,1615.0
Grant,2021,1595.0
Grant,2022,1607.0
Grant,2023,1611.0
Grant,2024,1633.0
Grant,2025,1611.0
Grant,2026,1570.0
Greenbrier,2011,5247.0
Greenbrier,2012,5302.0
Greenbrier,2013,5223.0
Greenbrier,2014,5191.0
Greenbrier,2015,5159.0
Greenbrier,2016,5108.0
Greenbrier,2017,4962.0
Greenbrier,2018,4897.0
Greenbrier,2019,4813.0
Greenbrier,2020,4766.0
Greenbrier,2021,4668.0
Greenbrier,2022,4657.0
Greenbrier,2023,4652.0
Greenbrier,2024,4531.0
Greenbrier,2025,4376.0
Greenbrier,2026,4210.0
Hampshire,2011,3590.0
Hampshire,2012,3592.0
Hampshire,2013,3499.0
Hampshire,2014,3422.0
Hampshire,2015,3418.0
Hampshire,2016,3328.0
Hampshire,2017,3255.0
Hampshire,2018,3153.0
Hampshire,2019,2994.0
Hampshire,2020,2962.0
Hampshire,2021,2886.0
Hampshire,2022,2810.0
Hampshire,2023,2800.0
Hampshire,2024,2744.0
Hampshire,2025,2645.0
Hampshire,2026,2659.0
Hancock,2011,4308.0
Hancock,2012,4332.0
Hancock,2013,4202.0
Hancock,2014,4181.0
Hancock,2015,4170.0
Hancock,2016,4168.0
Hancock,2017,4064.0
Hancock,2018,4086.0
Hancock,2019,3991.0
Hancock,2020,3957.0
Hancock,2021,3754.0
Hancock,2022,3655.0
Hancock,2023,3494.0
Hancock,2024,3374.0
Hancock,2025,3311.0
Hancock,2026,3275.0
Hardy,2011,2297.0
Hardy,2012,2279.0
Hardy,2013,2348.0
Hardy,2014,2321.0
Hardy,2015,2352.0
Hardy,2016,2393.0
Hardy,2017,2381.0
Hardy,2018,2354.0
Hardy,2019,2340.0
Hardy,2020,2270.0
Hardy,2021,2240.0
Hardy,2022,2137.0
Hardy,2023,2190.0
Hardy,2024,2167.0
Hardy,2025,2182.0
Hardy,2026,2154.0
Harrison,2011,11128.0
Harrison,2012,11005.0
Harrison,2013,10935.0
Harrison,2014,10913.0
Harrison,2015,10946.0
Harrison,2016,10826.0
Harrison,2017,10699.0
Harrison,2018,10753.0
Harrison,2019,10734.0
Harrison,2020,10545.0
Harrison,2021,10073.0
Harrison,2022,9961.0
Harrison,2023,9924.0
Harrison,2024,9589.0
Harrison,2025,9318.0
Harrison,2026,8917.0
Jackson,2011,5046.0
Jackson,2012,4997.0
Jackson,2013,4965.0
Jackson,2014,4914.0
Jackson,2015,4902.0
Jackson,2016,4820.0
Jackson,2017,4727.0
Jackson,2018,4654.0
Jackson,2019,4581.0
Jackson,2020,4481.0
Jackson,2021,4263.0
Jackson,2022,4090.0
Jackson,2023,4129.0
Jackson,2024,4020.0
Jackson,2025,3968.0
Jackson,2026,3894.0
Jefferson,2011,8845.0
Jefferson,2012,8842.0
Jefferson,2013,8958.0
Jefferson,2014,9061.0
Jefferson,2015,9066.0
Jefferson,2016,9138.0
Jefferson,2017,9202.0
Jefferson,2018,9173.0
Jefferson,2019,9034.0
Jefferson,2020,8942.0
Jefferson,2021,8493.0
Jefferson,2022,8662.0
Jefferson,2023,8392.0
Jefferson,2024,8236.0
Jefferson,2025,8371.0
Jefferson,2026,8213.0
Kanawha,2011,28458.0
Kanawha,2012,28429.0
Kanawha,2013,28548.0
Kanawha,2014,28378.0
Kanawha,2015,27930.0
Kanawha,2016,27339.0
Kanawha,2017,26620.0
Kanawha,2018,26230.0
Kanawha,2019,25686.0
Kanawha,2020,25372.0
Kanawha,2021,24698.0
Kanawha,2022,24318.0
Kanawha,2023,23876.0
Kanawha,2024,23350.0
Kanawha,2025,23048.0
Kanawha,2026,22098.0
Lewis,2011,2605.0
Lewis,2012,2635.0
Lewis,2013,2626.0
Lewis,2014,2624.0
Lewis,2015,2576.0
Lewis,2016,2559.0
Lewis,2017,2561.0
Lewis,2018,2566.0
Lewis,2019,2558.0
Lewis,2020,2567.0
Lewis,2021,2473.0
Lewis,2022,2447.0
Lewis,2023,2386.0
Lewis,2024,2327.0
Lewis,2025,2209.0
Lewis,2026,2142.0
Lincoln,2011,3679.0
Lincoln,2012,3689.0
Lincoln,2013,3736.0
Lincoln,2014,3691.0
Lincoln,2015,3711.0
Lincoln,2016,3627.0
Lincoln,2017,3540.0
Lincoln,2018,3462.0
Lincoln,2019,3391.0
Lincoln,2020,3295.0
Lincoln,2021,3111.0
Lincoln,2022,3076.0
Lincoln,2023,2942.0
Lincoln,2024,2852.0
Lincoln,2025,2713.0
Lincoln,2026,2638.0
Logan,2011,6449.0
Logan,2012,6393.0
Logan,2013,6426.0
Logan,2014,6271.0
Logan,2015,6156.0
Logan,2016,6063.0
Logan,2017,5846.0
Logan,2018,5798.0
Logan,2019,5563.0
Logan,2020,5438.0
Logan,2021,5188.0
Logan,2022,5131.0
Logan,2023,5116.0
Logan,2024,4802.0
Logan,2025,4654.0
Logan,2026,4343.0
Marion,2011,8104.0
Marion,2012,7960.0
Marion,2013,8096.0
Marion,2014,8036.0
Marion,2015,8168.0
Marion,2016,8106.0
Marion,2017,8105.0
Marion,2018,7999.0
Marion,2019,7838.0
Marion,2020,7873.0
Marion,2021,7579.0
Marion,2022,7377.0
Marion,2023,7385.0
Marion,2024,7263.0
Marion,2025,7097.0
Marion,2026,6903.0
Marshall,2011,4778.0
Marshall,2012,4726.0
Marshall,2013,4691.0
Marshall,2014,4708.0
Marshall,2015,4691.0
Marshall,2016,4652.0
Marshall,2017,4607.0
Marshall,2018,4671.0
Marshall,2019,4602.0
Marshall,2020,4420.0
Marshall,2021,4308.0
Marshall,2022,4294.0
Marshall,2023,4230.0
Marshall,2024,4121.0
Marshall,2025,4098.0
Marshall,2026,3992.0
Mason,2011,4381.0
Mason,2012,4311.0
Mason,2013,4323.0
Mason,2014,4312.0
Mason,2015,4251.0
Mason,2016,4244.0
Mason,2017,4152.0
Mason,2018,4165.0
Mason,2019,4071.0
Mason,2020,3928.0
Mason,2021,3835.0
Mason,2022,3867.0
Mason,2023,3774.0
Mason,2024,3624.0
Mason,2025,3542.0
Mason,2026,3462.0
McDowell,2011,3559.0
McDowell,2012,3535.0
McDowell,2013,3537.0
McDowell,2014,3437.0
McDowell,2015,3417.0
McDowell,2016,3296.0
McDowell,2017,3200.0
McDowell,2018,3056.0
McDowell,2019,2967.0
McDowell,2020,2825.0
McDowell,2021,2637.0
McDowell,2022,2551.0
McDowell,2023,2455.0
McDowell,2024,2353.0
McDowell,2025,2236.0
McDowell,2026,2089.0
Mercer,2011,9611.0
Mercer,2012,9657.0
Mercer,2013,9673.0
Mercer,2014,9585.0
Mercer,2015,9461.0
Mercer,2016,9366.0
Mercer,2017,9216.0
Mercer,2018,8960.0
Mercer,2019,8854.0
Mercer,2020,8688.0
Mercer,2021,8458.0
Mercer,2022,8544.0
Mercer,2023,8552.0
Mercer,2024,8401.0
Mercer,2025,8223.0
Mercer,2026,7903.0
