School,SchlID,last_reported_type,inferred_type,Enrollment,Pre-K,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,elementary_enrollment,elementary_middle_enrollment,middle_enrollment,high_enrollment,elementary_pct,elementary_middle_pct,middle_pct,high_pct,has_grade78,has_lower_elem,has_high_grades,inferred_grade_type,final_type,final_type_note
LITTLE BIRCH ELEMENTARY SCHOOL,008204,Elementary,elementary,113.625,12.0625,15.875,15.5625,15.5,16.375,16.375,15,6.875,0,0,0,0,0,0,113.625,113.625,21.875,0,1,1,0.1925192519251925,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
SUTTON ELEMENTARY SCHOOL,008205,Elementary,elementary,193.3125,27.125,26.3125,25.375,25.6875,26.5625,27.1875,24.375,10.6875,0,0,0,0,0,0,193.3125,193.3125,35.0625,0,1,1,0.1813773035887488,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
BRAXTON COUNTY MIDDLE SCHOOL,008303,Middle,middle,375.5625,0,0,0,0,0,0,9.8125,83.25,141.25,141.25,0,0,0,0,93.0625,375.5625,375.5625,0,0.2477949742053586,1,1,0,TRUE,FALSE,FALSE,middle,middle,last_reported=Middle
BRAXTON COUNTY HIGH SCHOOL,008501,Secondary,high,557.0625,0,0,0,0,0,0,0,0,0,0,154.5,137.375,132.6875,132.5,0,0,0,557.0625,0,0,0,1,FALSE,FALSE,TRUE,high,high,last_reported=Secondary
BEECH BOTTOM PRIMARY,010201,,elementary,111.75,18.125,18.375,18.875,18.75,19.25,18.375,0,0,0,0,0,0,0,0,111.75,111.75,0,0,1,1,0,0,FALSE,TRUE,FALSE,elementary,elementary,no last_reported_type; inferred_grade_type=elementary (name: elementary)
COLLIER PRIMARY SCHOOL,010202,,elementary,183.875,16.125,35.625,33,33.375,32.75,33,0,0,0,0,0,0,0,0,183.875,183.875,0,0,1,1,0,0,FALSE,TRUE,FALSE,elementary,elementary,no last_reported_type; inferred_grade_type=elementary (name: elementary)
FRANKLIN PRIMARY SCHOOL,010203,,elementary,171.75,0,33.625,33.75,37.25,33.75,33.375,0,0,0,0,0,0,0,0,171.75,171.75,0,0,1,1,0,0,FALSE,TRUE,FALSE,elementary,elementary,no last_reported_type; inferred_grade_type=elementary (name: elementary)
HOOVERSON HEIGHTS PRIMARY SCHOOL,010204,,elementary,164.125,0.125,35,32.75,30.75,31.125,34.375,0,0,0,0,0,0,0,0,164.125,164.125,0,0,1,1,0,0,FALSE,TRUE,FALSE,elementary,elementary,no last_reported_type; inferred_grade_type=elementary (name: elementary)
JEFFERSON PRIMARY SCHOOL,010205,,elementary,238.5,33,40.125,39,41.5,40.375,44.5,0,0,0,0,0,0,0,0,238.5,238.5,0,0,1,1,0,0,FALSE,TRUE,FALSE,elementary,elementary,no last_reported_type; inferred_grade_type=elementary (name: elementary)
LAURETTA B MILLSOP PRIMARY SCHOOL,010206,,elementary,89.625,0,18.625,16.125,17.125,19.25,18.5,0,0,0,0,0,0,0,0,89.625,89.625,0,0,1,1,0,0,FALSE,TRUE,FALSE,elementary,elementary,no last_reported_type; inferred_grade_type=elementary (name: elementary)
WELLSBURG PRIMARY SCHOOL,010207,,elementary,236.25,11.625,42.75,45.25,44,45.875,46.75,0,0,0,0,0,0,0,0,236.25,236.25,0,0,1,1,0,0,FALSE,TRUE,FALSE,elementary,elementary,no last_reported_type; inferred_grade_type=elementary (name: elementary)
BROOKE PRIMARY SCHOOL NORTH,010208,Primary,elementary,259.375,0,84.75,87.25,87.375,0,0,0,0,0,0,0,0,0,0,259.375,259.375,0,0,1,1,0,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Primary
BROOKE PRIMARY SCHOOL SOUTH,010209,Primary,elementary,202.25,0,68.25,66.5,67.5,0,0,0,0,0,0,0,0,0,0,202.25,202.25,0,0,1,1,0,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Primary
BROOKE INTERMEDIATE SCHOOL NORTH,010210,Elementary,middle,179.25,0,0,0,0,88.875,90.375,0,0,0,0,0,0,0,0,179.25,179.25,0,0,1,1,0,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary; inferred_type=middle (name-based) overridden — grade data confirms elementary
BROOKE INTERMEDIATE SCHOOL SOUTH,010211,Elementary,middle,135.125,0,0,0,0,66.5,68.625,0,0,0,0,0,0,0,0,135.125,135.125,0,0,1,1,0,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary; inferred_type=middle (name-based) overridden — grade data confirms elementary
FOLLANSBEE MIDDLE SCHOOL,010301,,middle,502.5,0,0,0,0,0,0,124.125,125.625,123.5,129.25,0,0,0,0,249.75,502.5,502.5,0,0.4970149253731343,1,1,0,TRUE,FALSE,FALSE,middle,middle,no last_reported_type; inferred_grade_type=middle (name: middle)
WELLSBURG MIDDLE SCHOOL,010303,,middle,436.125,0,0,0,0,0,0,105.125,110.125,112,108.875,0,0,0,0,215.25,436.125,436.125,0,0.4935511607910576,1,1,0,TRUE,FALSE,FALSE,middle,middle,no last_reported_type; inferred_grade_type=middle (name: middle)
BROOKE MIDDLE SCHOOL,010304,Middle,middle,739.875,0,0,0,0,0,0,170.5,178.75,190.25,200.375,0,0,0,0,349.25,739.875,739.875,0,0.472039196,1,1,0,TRUE,FALSE,FALSE,middle,middle,last_reported=Middle
BROOKE HIGH SCHOOL,010502,Secondary,high,1002.375,82.375,0,0,0,0,0,0,0,0,0,240.3125,232.25,224.5,222.9375,82.375,82.375,0,920,0.082179823,0.082179823,0,0.9178201770794364,FALSE,TRUE,TRUE,high,high,last_reported=Secondary
ALTIZER ELEMENTARY SCHOOL,012203,Elementary,elementary,251.3125,31.5625,37.8125,37,37.375,36.125,36.125,35.3125,0,0,0,0,0,0,0,251.3125,251.3125,35.3125,0,1,1,0.1405123103705546,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
COX LANDING ELEMENTARY SCHOOL,012218,Elementary,elementary,205.4375,18.0625,31.625,31.25,30.875,30.6875,30.9375,32,0,0,0,0,0,0,0,205.4375,205.4375,32,0,1,1,0.1557651353818071,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
CULLODEN ELEMENTARY SCHOOL,012221,Elementary,elementary,207.75,17.875,33.4375,34,31.625,31.6875,29.9375,29.1875,0,0,0,0,0,0,0,207.75,207.75,29.1875,0,1,1,0.1404933814681107,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
DAVIS CREEK ELEMENTARY SCHOOL,012224,Elementary,elementary,245.125,33.875,34.25,34.125,34.6875,35.625,36.0625,36.5,0,0,0,0,0,0,0,245.125,245.125,36.5,0,1,1,0.1489036206017338,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
EXPLORER ACADEMY,012227,Elementary,,440.1818181818182,73.72727272727273,66.27272727272727,63.90909090909091,60.81818181818182,60.18181818181818,59.81818181818182,55.45454545454545,0,0,0,0,0,0,0,440.1818181818182,440.1818181818182,55.45454545454545,0,1,1,0.1259809995869475,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
GENEVA KENT ELEMENTARY SCHOOL,012233,,elementary,326.8,40,54.2,49.6,46.4,44,43.4,49.2,0,0,0,0,0,0,0,326.8,326.8,49.2,0,1,1,0.1505507955936352,0,FALSE,TRUE,FALSE,elementary,elementary,no last_reported_type; inferred_grade_type=elementary (name: elementary)
GUYANDOTTE ELEMENTARY SCHOOL,012236,Elementary,elementary,262.0625,54.6875,36.625,36.0625,34,35.0625,33.125,32.5,0,0,0,0,0,0,0,262.0625,262.0625,32.5,0,1,1,0.124016218,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
HIGHLAWN ELEMENTARY SCHOOL,012239,Elementary,elementary,306.5625,65,41,42.125,40.1875,39.625,38.8125,39.8125,0,0,0,0,0,0,0,306.5625,306.5625,39.8125,0,1,1,0.1298674821610601,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
HITE SAUNDERS ELEMENTARY SCHOOL,012242,Elementary,elementary,224.6875,18.5,38.4375,36.25,34.0625,32.5,32.4375,32.5,0,0,0,0,0,0,0,224.6875,224.6875,32.5,0,1,1,0.1446453407510431,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
MARTHA ELEMENTARY SCHOOL,012251,Elementary,elementary,217.5625,18.6875,31.8125,33.4375,31.25,33.8125,34.25,34.3125,0,0,0,0,0,0,0,217.5625,217.5625,34.3125,0,1,1,0.1577133007756392,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
MEADOWS ELEMENTARY SCHOOL,012254,Elementary,elementary,262.25,48.625,37.9375,35.375,36.8125,35.0625,34.1875,34.25,0,0,0,0,0,0,0,262.25,262.25,34.25,0,1,1,0.1306005719733079,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
MILTON ELEMENTARY SCHOOL,012263,Elementary,elementary,605.875,86.6875,85.5,86.0625,87.25,86.5,85.8125,88.0625,0,0,0,0,0,0,0,605.875,605.875,88.0625,0,1,1,0.1453476377140499,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
NICHOLS ELEMENTARY SCHOOL,012269,Elementary,elementary,235.5625,16.875,34.75,35.6875,36,35.5625,37.375,39.3125,0,0,0,0,0,0,0,235.5625,235.5625,39.3125,0,1,1,0.1668877686388962,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
ONA ELEMENTARY SCHOOL,012272,Elementary,elementary,329.0625,19.875,52.6875,50.5,51.5625,50.5625,50.875,53,0,0,0,0,0,0,0,329.0625,329.0625,53,0,1,1,0.1610636277302944,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
PEYTON ELEMENTARY SCHOOL,012281,,elementary,179.8,25.2,26.8,26.2,26.2,26,25.6,23.8,0,0,0,0,0,0,0,179.8,179.8,23.8,0,1,1,0.132369299,0,FALSE,TRUE,FALSE,elementary,elementary,no last_reported_type; inferred_grade_type=elementary (name: elementary)
SALT ROCK ELEMENTARY SCHOOL,012285,Elementary,elementary,225.5625,18.625,35.5,35.4375,33.125,34.125,33.9375,34.8125,0,0,0,0,0,0,0,225.5625,225.5625,34.8125,0,1,1,0.1543363812690496,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
SPRING HILL ELEMENTARY SCHOOL,012287,Elementary,elementary,463,43.0625,72.4375,71.25,69.4375,66.75,69.75,70.3125,0,0,0,0,0,0,0,463,463,70.3125,0,1,1,0.1518628509719222,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
CENTRAL CITY ELEMENTARY SCHOOL,012290,Elementary,elementary,482,66.9375,73.3125,72.75,68.6875,67.3125,67.0625,65.9375,0,0,0,0,0,0,0,482,482,65.9375,0,1,1,0.1367997925311203,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
VILLAGE OF BARBOURSVILLE ELEMENTARY SCH,012291,Elementary,elementary,665.5625,54.9375,104.625,101.5625,102.8125,100.75,100.3125,100.5625,0,0,0,0,0,0,0,665.5625,665.5625,100.5625,0,1,1,0.1510939994365668,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
SOUTHSIDE ELEMENTARY,012292,Elementary,elementary,455.8125,47.25,70.125,68.8125,66.0625,66.75,68.6875,68.125,0,0,0,0,0,0,0,455.8125,455.8125,68.125,0,1,1,0.1494583847525024,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
BARBOURSVILLE MIDDLE SCHOOL,012301,Middle,middle,753.0625,0,0,0,0,0,0,0,249.8125,252.6875,250.5625,0,0,0,0,249.8125,753.0625,753.0625,0,0.3317287741721305,1,1,0,TRUE,FALSE,FALSE,middle,middle,last_reported=Middle
BEVERLY HILLS MIDDLE SCHOOL,012302,,middle,471.6666666666667,0,0,0,0,0,0,0,162.33333333333334,160,149.33333333333334,0,0,0,0,162.33333333333334,471.6666666666667,471.6666666666667,0,0.3441696113074205,1,1,0,TRUE,FALSE,FALSE,middle,middle,no last_reported_type; inferred_grade_type=middle (name: middle)
ENSLOW MIDDLE SCHOOL,012305,,middle,283.3333333333333,0,0,0,0,0,0,0,96.66666666666669,97.33333333333331,89,0.3333333333333333,0,0,0,96.66666666666669,283,283,0.3333333333333333,0.3411764705882353,0.9988235294117648,0.9988235294117648,0.001176471,TRUE,FALSE,TRUE,other,middle,no last_reported_type; inferred_grade_type=other; assigned from inferred_type=middle (name-based)
MILTON MIDDLE SCHOOL,012308,Middle,middle,614.5,0,0,0,0,0,0,0,203.9375,206.875,203.6875,0,0,0,0,203.9375,614.5,614.5,0,0.3318755085435313,1,1,0,TRUE,FALSE,FALSE,middle,middle,last_reported=Middle
HUNTINGTON MIDDLE SCHOOL,012310,Middle,middle,629.125,0,0,0,0,0,0,0,214.625,209.9375,204.5625,0,0,0,0,214.625,629.125,629.125,0,0.3411484204251937,1,1,0,TRUE,FALSE,FALSE,middle,middle,last_reported=Middle
HUNTINGTON EAST MIDDLE SCHOOL,012311,Middle,middle,635.5384615384615,0,0,0,0,0,0,0,216.3846153846154,213.07692307692307,206.07692307692307,0,0,0,0,216.3846153846154,635.5384615384615,635.5384615384615,0,0.340474461,1,1,0,TRUE,FALSE,FALSE,middle,middle,last_reported=Middle
CABELL ALTERNATIVE SCHOOL,012502,Alternative,alternative,46.0625,0,0,0,0,0,0,0,0.6875,3.875,5.8125,7.6875,12.125,9.125,6.75,0.6875,10.375,10.375,35.6875,0.014925373,0.2252374491180461,0.2252374491180461,0.7747625508819539,TRUE,FALSE,TRUE,high,alternative,unchanged: last_reported_type or name-inferred type is Alternative
CABELL MIDLAND HIGH SCHOOL,012550,Secondary,high,1831.6875,0,0,0,0,0,0,0,0,0,0,484.4375,466.25,446.5,434.5,0,0,0,1831.6875,0,0,0,1,FALSE,FALSE,TRUE,high,high,last_reported=Secondary
HUNTINGTON HIGH SCHOOL,012560,Secondary,high,1650,0,0,0,0,0,0,0,0,0,0,483.6875,423.1875,373.4375,369.6875,0,0,0,1650,0,0,0,1,FALSE,FALSE,TRUE,high,high,last_reported=Secondary
ARNOLDSBURG SCHOOL,014201,Elementary,,199.5625,30.3125,34,34.25,33.875,33.3125,33.8125,0,0,0,0,0,0,0,0,199.5625,199.5625,0,0,1,1,0,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
PLEASANT HILL SCHOOL,014203,Elementary,,204.1875,27.8125,36.125,34.75,35.0625,35.25,35.1875,0,0,0,0,0,0,0,0,204.1875,204.1875,0,0,1,1,0,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
CALHOUN MIDDLE/HIGH SCHOOL,014501,Secondary,high,564.0625,0,0,0,0,0,0,68.5625,69,70.375,70.8125,73,72.875,70.8125,68.625,137.5625,278.75,278.75,285.3125,0.2438781163434903,0.4941828254847645,0.4941828254847645,0.5058171745152354,TRUE,FALSE,TRUE,high,high,last_reported=Secondary
CLAY ELEMENTARY SCHOOL,016202,Elementary,elementary,443.125,58.625,60.375,62.1875,63.0625,64.6875,67.5625,66.625,0,0,0,0,0,0,0,443.125,443.125,66.625,0,1,1,0.1503526093088857,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
LIZEMORE ELEMENTARY SCHOOL,016205,Elementary,elementary,128.57142857142858,14.5,18.428571428571427,18.5,18.714285714285715,19.785714285714285,19.142857142857142,19.5,0,0,0,0,0,0,0,128.57142857142856,128.57142857142856,19.5,0,0.9999999999999998,0.9999999999999998,0.1516666666666666,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
H E WHITE ELEMENTARY SCHOOL,016208,Elementary,elementary,97,12.071428571428571,14.428571428571429,13.785714285714286,14.357142857142858,14,14.285714285714286,14.071428571428571,0,0,0,0,0,0,0,97,97,14.071428571428571,0,1,1,0.1450662739322533,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
BIG OTTER ELEMENTARY SCHOOL,016209,Elementary,elementary,220.8125,31,30.1875,31.5,31.5,32,31.75,32.875,0,0,0,0,0,0,0,220.8125,220.8125,32.875,0,1,1,0.1488819699971695,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
CLAY MIDDLE SCHOOL,016301,Middle,middle,401.4375,0,0,0,0,0,0,0,132.75,134.0625,134.625,0,0,0,0,132.75,401.4375,401.4375,0,0.3306865950490425,1,1,0,TRUE,FALSE,FALSE,middle,middle,last_reported=Middle
