local_school_id,year,district_code,District,school_code,school_name,Enrollment,school_type,reported_type,inferred_type_from_grades,Pre-K,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
6220,2026,6,Boone,220,Brookview Elementary,328.0,Elementary,Elementary,Elementary,49.0,56.0,43.0,49.0,47.0,45.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6301,2026,6,Boone,301,Madison Middle School,351.0,Middle,Middle,Middle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,120.0,122.0,0.0,0.0,0.0,0.0
6401,2026,6,Boone,401,Sherman Junior High School,195.0,Middle,Middle,Middle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,66.0,73.0,0.0,0.0,0.0,0.0
6501,2026,6,Boone,501,Scott High School,562.0,Secondary,Secondary,Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,140.0,139.0,130.0
6502,2026,6,Boone,502,Sherman High School,297.0,Secondary,Secondary,Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,72.0,82.0,66.0
6503,2026,6,Boone,503,Van Junior/Senior High School,123.0,Secondary,Secondary,Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,26.0,21.0,8.0,12.0,18.0,17.0
8101,2026,8,Braxton,101,Burnsville Elementary School,76.0,Elementary,Elementary,Elementary,8.0,9.0,15.0,9.0,12.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8201,2026,8,Braxton,201,Davis Elementary School,133.0,Elementary,Elementary,Elementary,15.0,19.0,18.0,18.0,20.0,17.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8202,2026,8,Braxton,202,Flatwoods Elementary School,111.0,Elementary,Elementary,Elementary,14.0,9.0,18.0,14.0,22.0,19.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8203,2026,8,Braxton,203,Frametown Elementary School,133.0,Elementary,Elementary,Elementary,11.0,17.0,21.0,24.0,23.0,19.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8204,2026,8,Braxton,204,Little Birch Elementary School,71.0,Elementary,Elementary,Elementary,2.0,14.0,7.0,13.0,9.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8205,2026,8,Braxton,205,Sutton Elementary School,158.0,Elementary,Elementary,Elementary,26.0,15.0,22.0,18.0,24.0,27.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8303,2026,8,Braxton,303,Braxton County Middle School,341.0,Middle,Middle,Middle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,119.0,126.0,0.0,0.0,0.0,0.0
8501,2026,8,Braxton,501,Braxton County High School,491.0,Secondary,Secondary,Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,110.0,123.0,122.0
10208,2026,10,Brooke,208,Hooverson Heights Primary School,255.0,Primary,Primary,Primary,0.0,81.0,85.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10209,2026,10,Brooke,209,Wellsburg Primary School,176.0,Primary,Primary,Primary,0.0,49.0,64.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10210,2026,10,Brooke,210,Jefferson Intermediate School,168.0,Elementary,Elementary,Elementary,0.0,0.0,0.0,0.0,72.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10211,2026,10,Brooke,211,Franklin Intermediate School,136.0,Elementary,Elementary,Elementary,0.0,0.0,0.0,0.0,75.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
